id,tier1,tier2,tier3,explanation
92,Forming,Rolling,Shape,"Rolling with profiled rolls producing specific cross-sectional shapes like I-beams, angles, channels, rails through multiple passes. Choose for structural steel sections, rails, custom profiles, or when extrusion not suitable for steel. Complex cross-section products (vs flat sheet), typically hot-rolled steel, progressive forming through roll sequences. Construction I-beams, railroad rails, automotive frame channels."
93,Forming,Rolling,Ring,"Specialized rolling expanding hollow ring preform by rotating it while applying radial pressure from roll creating seamless rings. Select for bearing races, flanges, gear blanks, or pressure vessel components requiring seamless construction. Seamless ring products (vs welded), grain flow follows circumference, size range from inches to meters diameter. Bearing races, aerospace engine casings, wind turbine rings."
94,Forming,Rolling,Transverse,"Workpiece axis perpendicular to roll axes deforming rotating workpiece to create discrete parts like balls, axles, tapered shafts. Choose for axisymmetric parts, tapered sections, threading, or part-specific forming vs continuous products. Cross-rolling configuration (vs longitudinal), produces discrete parts (not continuous), typical for rounds/tapers. Thread rolling, ball bearings, tapered axles."
95,Forming,Rolling,Cryorolling,"Cold rolling performed at cryogenic temperatures (liquid nitrogen) achieving ultrafine grain structures and enhanced mechanical properties through suppressed recovery. Select for exceptional strength, ultrafine grain microstructure, aluminum alloys, or research applications. Cryogenic temperature prevents recovery/recrystallization, ultrafine grains (<1μm), enhanced properties vs conventional cold rolling. Advanced aluminum alloys, research into nanostructured metals."
96,Forming,Rolling,Orbital,"Tool orbits around stationary or rotating workpiece applying progressive localized deformation for forming flanges, reducing tube ends, or creating connections. Choose for tube end forming, flange creation, cylinder head attachment, or localized tube manipulation. Orbital tool path (vs fixed), progressive local forming, suitable for tube/cylinder end forming. Automotive exhaust connections, HVAC duct flanges, tube assemblies."
97,Forming,Rolling,Thread,"Displaces material between rotating cylindrical dies to form external threads providing stronger threads than cutting through grain flow manipulation. Choose for fastener thread production, superior fatigue strength vs cut threads, high production volumes. Material displacement (vs removal in thread cutting), grain flow follows thread profile, cold working strengthens threads. Fastener manufacturing, precision threads, high-strength applications."
98,Forming,Rolling,Extrusion,"Hybrid term potentially referring to rolling operations following extrusion for dimensional control or continuous tube forming processes combining aspects of both. Select based on specific application - may involve roll-forming of extruded profiles or continuous tube forming. Context-dependent capability combining rolling with extrusion aspects. Application-specific processes in tube or profile manufacturing."
99,Forming,Extrusion,,"Forces material through shaped die opening creating long continuous products with constant cross-section like rods, tubes, complex profiles. Choose for constant cross-section products, complex hollow shapes, aluminum/copper/plastic profiles, or seamless tubing. Material forced through die (vs rolling between rolls), constant cross-section length, excellent for complex hollows. Aluminum window frames, copper tubes, plastic pipes, heat sinks."
100,Forming,Extrusion,Impact extrusion,"High-speed punch strikes slug forcing material to flow backward around punch (reverse) or forward (forward extrusion) forming thin-walled tubes or cans in single blow. Select for thin-walled containers, toothpaste tubes, battery cases, or rapid cold forming. Single impact stroke (vs continuous extrusion), cold forming, material flows around/past punch. Collapsible tubes, battery cans, aerosol containers."
101,Forming,Pressing,,"Sheet metal forming operations using press machines with dies to cut, bend, draw, or shape flat sheets into three-dimensional parts. Choose for high-volume sheet metal parts, automotive body panels, appliances, enclosures, or stamped components. Press-based sheet forming (vs rolling or forging), wide variety of operations (cutting/bending/drawing), high production rates with progressive dies. Automotive body panels, appliance housings, enclosures, brackets."
102,Forming,Pressing,Embossing,"Press operation creating raised or recessed patterns, text, or designs on sheet surface through male/female matched dies. Select for decorative features, identification marking, surface strengthening through raised ribs, or branding. Surface pattern creation (vs through-forming), aesthetic or functional raised/recessed features, shallow deformation. Decorative panels, nameplates, textured surfaces, strengthening ribs."
103,Forming,Pressing,Stretch forming,"Clamps sheet edges and stretches material over/into form die using tensile forces creating large smooth contoured panels. Choose for large smooth panels, aerospace skins, automotive body panels, or gentle compound curves. Edge clamping with tensile stretching (vs compression), large panels with minimal wrinkles, compound curves. Aircraft fuselage skins, automotive hoods/fenders, architectural panels."
104,Forming,Pressing,Blanking,"Shearing operation punching shaped profile from sheet where punched piece is desired part and remaining sheet is scrap skeleton. Select for flat part production from sheet, high-volume stamping, or first operation in progressive die. Punched piece is part (vs piercing where hole is feature), complete outer perimeter cut, often first operation in stamping sequence. Washers, gaskets, electronic enclosure blanks."
105,Forming,Pressing,Drawing,"Punch pushes sheet into die cavity forming cup or box shapes where depth exceeds smallest dimension. Choose for deep drawn cups, beverage cans, kitchen sinks, or parts where depth significant. Depth exceeds smallest dimension (vs shallow forming), material drawn from flange into walls, may require multiple draw stages. Beverage cans, cartridge cases, kitchen sinks, fire extinguisher shells."
106,Forming,Pressing,Bulging,"Internal hydraulic or mechanical pressure expands tube or sheet into die cavity creating bulged sections or complex shapes. Select for pressure vessel heads, tube hydroforming, complex hollow shapes, or localized diameter expansion. Internal pressure forming (vs external punch), suitable for tubes and hollow shapes, uniform wall expansion. Automotive exhaust components, pressure vessel heads, plumbing fittings."
107,Forming,Bending,,"Creates angular or curved shapes by applying bending moment plastically deforming sheet or structural material about linear axis. Choose for angles, channels, brackets, enclosures, or any part requiring angular bends. Linear bend axis (vs compound forming), simple tooling, wide range of angles and radii. Brackets, enclosures, channels, HVAC ductwork, sheet metal boxes."
108,Forming,Bending,Hemming,"Bends sheet edge back onto itself 180° creating folded edge for stiffening, safety (eliminating sharp edges), or joining panels. Select for panel edge finishing, joining sheet metal panels, eliminating sharp edges, or aesthetic edge treatment. 180° fold (vs partial angle bend), often used for joining (flat hem) or sealing, provides finished edge. Automotive door panels, appliance panels, edge finishing."
109,Forming,Shearing,,"Separates material by applying opposing shear forces through upper and lower blades causing fracture along shear plane. Choose for straight cuts in sheet, plate, or bar stock, minimal material waste, or preparation for further forming. Material separation through shear fracture (vs melting in cutting), straight cuts primarily, material waste only at cut width. Cutting sheet stock to size, blanking, trimming operations."
110,Forming,Shearing,Blanking and piercing,"Combined operation where blanking cuts outer profile while piercing creates internal holes simultaneously producing finished part in single press stroke. Select for parts requiring both outer profile and internal features, production efficiency, or progressive die operations. Simultaneous outer cut and hole punching (vs sequential operations), efficient single-station or progressive die operation. Washers with holes, brackets with mounting holes, electrical connectors."
111,Forming,Shearing,Stamping,"Comprehensive term for press operations combining cutting and forming processes producing sheet metal parts through blanking, piercing, bending, drawing in progressive or compound dies. Choose for high-volume complex sheet metal parts requiring multiple operations, automotive/appliance components, or integrated forming sequences. Multiple operations integrated (cutting/bending/forming), progressive dies enable complex parts at high speeds. Automotive structural components, appliance panels, electronic enclosures."
112,Forming,Shearing,Coining,"High-pressure closed-die pressing forcing material into die details embossing fine features on both surfaces simultaneously with minimal material flow. Select for precision thickness control, fine detail replication, flatness, or metal coins/medals. Extremely high pressure (8-10x yield strength), both surfaces formed simultaneously, precise dimensional control. Coins, medals, precision gears, calibration standards."
113,Forming,Shearing,Straight shearing,"Simple shearing operation cutting straight line through sheet, plate, or bar using guillotine or shear blades. Choose for cutting stock to length, simple straight cuts, minimal setup, or preparation for further operations. Straight-line cuts only (vs profiled blanking), simple tooling, suitable for preparing stock. Cutting sheet/plate to size, trimming edges, preparing blanks for forming."
114,Forming,Redrawing,,"Additional drawing operation on previously drawn cup to further reduce diameter and increase depth through subsequent draw dies. Select when single draw insufficient for depth/diameter ratio, beverage cans, or deep shells requiring multiple stages. Second or subsequent drawing operation (vs initial draw), progressively reduces diameter and increases height. Deep drawn shells, beverage cans (multiple redraws), deep containers."
115,Forming,Ironing,,"Drawing operation forcing drawn shell through gap between punch and die reducing wall thickness while maintaining or increasing height. Choose for uniform thin walls, tall shells from thick blanks, beverage can bodies, or strength through work hardening. Wall thinning with height increase (vs redrawing which reduces diameter), achieves thin uniform walls, significant work hardening. Beverage can bodies, aerosol containers, fire extinguisher shells."
116,Forming,Flattening,,"Removes curvature, waviness, or residual stresses from sheet, strip, or coil by passing through leveling rolls or applying localized pressure. Select for flat sheet requirements, removing coil set, stress relief, or preparing material for secondary operations. Removes curvature/waviness (vs introducing forming), tension leveling or roller leveling methods, improves flatness tolerance. Sheet metal preparation, coil leveling, precision flat blanks."
117,Forming,Swaging,,"Rotary forging reduces cross-section or forms tapers on tubes, rods, or wire using rotating dies with radial hammering action. Choose for tube end reduction, wire tapering, cable/hose fittings, or rotary forming of axisymmetric parts. Rotating radial impact (vs stationary pressing), suitable for tubes and rods, creates tapers or reduces diameter. Tube end forming, cable fittings, golf club shafts, arrows."
118,Forming,Spinning,,"Rotates sheet blank against form tool while applying localized roller pressure progressively shaping material into axisymmetric hollow parts. Select for low-volume axisymmetric parts, large diameter-to-thickness ratios, prototype development, or custom vessels. Rotating blank formed by roller (vs punch/die), suitable for axisymmetric shapes, flexible low-volume process. Satellite dishes, kitchen mixing bowls, reflectors, pressure vessel heads."
119,Forming,Peening,,"Impacts surface with shots, balls, or hammer inducing compressive residual stresses, work hardening surface, or shaping through controlled deformation. Choose for fatigue life improvement, stress corrosion resistance, surface work hardening, or subtle forming. Surface impact treatment (vs bulk forming), induces compressive stress layer, improves fatigue resistance. Shot peening for fatigue life, peen forming of aircraft skins, surface strengthening."
120,Forming,Guerin process,,"Sheet metal forming using flexible rubber pad as upper die element conforming to part shape allowing forming without expensive matched metal dies. Select for low-volume production, prototype forming, complex contours without dedicated dies, or aerospace applications. Rubber pad conforms to part (vs rigid die), eliminates need for matched dies, suitable for aluminum aerospace skins. Aircraft components, low-volume complex panels, prototype development."
121,Forming,Wheelon process,,"Proprietary metalworking process - specific details vary but may involve specialized forming, spinning, or flow-forming techniques for particular applications. Context-dependent selection based on specific process variant and application requirements. Specialized/proprietary process designation, application-specific capabilities. Requires specific process definition for detailed selection guidance."
122,Forming,Magnetic pulse,,"Pulsed high-intensity magnetic field generates Lorentz forces rapidly deforming conductive sheet or tube without physical contact in microseconds. Choose for tube compression, expansion, joining dissimilar metals, or high-speed electromagnetic forming without tool contact. Electromagnetic force deformation (<100μs pulse), no physical tool contact, suitable for conductive materials only. Tube assembly, electromagnetic joining, high-speed forming operations."
123,Forming,Explosive forming,,"Explosive charge detonates in water or air generating pressure wave forcing sheet metal into die cavity for large complex parts. Select for very large panels (>3m), one-off or prototype parts, compound curves, or when conventional press capacity inadequate. Explosive pressure wave forming (vs mechanical press), suitable for very large parts, economical for low quantities. Large aerospace bulkheads, prototype pressure vessel heads, artistic metalwork."
124,Forming,Electroforming,,"Electrodeposition builds metal layer onto conductive mandrel from electrolytic bath creating seamless hollow precision parts or shells. Choose for complex seamless shapes, micro-feature replication, thin uniform walls, or when mandrel removal possible. Additive electroplating process (vs subtractive or deformation), replicates mandrel detail precisely, seamless construction. Waveguides, venturi nozzles, molds with micro-features, decorative shells."
125,Forming,Staking,,"Deforms plastic or soft metal boss/protrusion to mechanically capture another component creating permanent assembly. Select for permanent plastic assembly, retaining metal inserts in plastic, simple automated assembly, or low-stress component retention. Material deformation captures component (vs fasteners), permanent assembly, suitable for thermoplastics and soft metals. Retaining metal inserts in plastic housings, assembling plastic components, electronic enclosure assembly."
126,Forming,Seaming,,"Mechanically interlocks sheet metal edges through multiple folds creating mechanical connection commonly used for cans and HVAC ductwork. Choose for hermetic seals (double seam cans), ductwork assembly, no fasteners/adhesives, or automated high-speed joining. Folded mechanical interlock (vs welded/adhesive), hermetic seal capability (food/beverage cans), no consumables required. Food/beverage can end seaming, HVAC rectangular duct assembly, roof panel seaming."
127,Forming,Flanging,,"Bends sheet metal edge perpendicular or at angle creating flange for stiffening, attachment surface, or assembly feature. Choose for stiffening panel edges, creating attachment flanges, assembly mating surfaces, or reinforcing openings. Edge or hole periphery bent perpendicular (vs flat sheet), provides stiffness and attachment features. Hole flanging for reinforcement, panel edge stiffening, mounting flange creation."
128,Forming,Straightening,,"Removes bends, curves, twists, or warpage from bars, tubes, or sheet returning material to straight/flat condition. Select for correcting distortion from welding/heat treatment, meeting straightness specifications, or preparing material for machining. Removes unintended curvature (vs forming introduces shape), various methods (roller, press, stretch), restores geometry. Post-weld straightening, heat-treat distortion correction, precision bar straightening."
129,Forming,Decambering,,"Specialized straightening removing longitudinal curvature (camber) from beams, structural shapes, or rolled sections. Choose for structural steel meeting straightness specifications, heavy sections with rolling-induced camber, or construction steel requirements. Specifically removes lengthwise bow/camber (vs general straightening), heavy structural sections, tolerance compliance. Structural steel beams, heavy plate, bridge girders."
130,Forming,Cold sizing,,"Forces part through precision sizing die at room temperature improving dimensional accuracy, surface finish, and material properties through plastic deformation. Select for close tolerances after initial forming, improved surface finish, work hardening for strength, or post-sinter dimensioning. Precision sizing operation (vs initial forming), improves tolerances and finish, cold working strengthens material. Powder metal parts, drawn tubes, precision shafts."
131,Forming,Hubbing,,"Presses hardened master hub into soft steel block creating female die cavity impression used for die making. Choose for creating die cavities, mold impressions, coining dies, or replicating complex surface details in tooling. Master hub creates die impression (vs machining cavity), suitable for complex details, traditional die-making technique. Coin die making, medal dies, intricate cavity replication in tooling."
132,Forming,Hot metal gas forming,,"High-pressure inert gas at elevated temperature expands tube or sheet into die cavity particularly for lightweight alloys requiring elevated temperature formability. Select for complex tube hydroforming, superplastic forming of titanium/aluminum, or forming alloys with limited room-temperature ductility. Elevated temperature improves formability (vs room-temperature hydroforming), inert gas prevents oxidation, suitable for reactive alloys. Titanium aerospace structures, superplastic aluminum forming, complex tube shapes."
133,Forming,Curling,,"Rolls sheet metal edge into circular profile for stiffening, safety edge, or decorative purpose. Choose for stiffening panel edges, creating safe rounded edges, decorative trim, or hinge features. Edge rolled into circular cross-section (vs hemming which folds flat), provides stiffness and safe edge. Furniture edges, appliance panels, HVAC ductwork edges, drum tops."
134,Forming,Hydroforming,,"High-pressure hydraulic fluid (up to 10,000+ psi) expands tube or sheet into die cavity producing complex shapes with uniform wall thickness. Choose for complex tubular structures, weight reduction through optimized sections, automotive chassis components, or bicycle frames. Internal fluid pressure forming (vs external punch), uniform wall thickness, reduces welding/assembly. Automotive exhaust systems, chassis components, bicycle frames, plumbing fittings."
135,Machining,,,"Removes material through cutting, abrasion, or erosion processes achieving precise dimensions, complex geometries, and specified surface finishes. Choose for tight tolerances (sub-thousandth inch), complex geometries from solid stock, specific surface textures, or hard material processing. Subtractive process (vs additive or formative), produces chips/particles as waste, excellent dimensional accuracy and surface control. Encompasses turning, milling, drilling, grinding and variants."
136,Machining,Milling,,"Rotating multi-tooth cutting tool removes material from workpiece producing flat surfaces, slots, pockets, complex 3D contours. Select for flat surfaces, pockets, complex contours, multi-axis 3D geometries, or versatile material removal. Rotating cutter, stationary workpiece (vs turning), multiple cutting edges, versatile for various features. Engine blocks, molds, aerospace structural parts, general machining."
137,Machining,Milling,Grist mill,"Industrial facility using mechanical power to grind grain into flour involving roller mills, hammer mills, and size reduction equipment. Choose for grain processing, flour production, agricultural material grinding, or food industry applications. Grain grinding facility (not metalworking milling), mechanical size reduction, food/agriculture industry. Flour production, grain processing, agricultural operations."
138,Machining,Milling,Hammer mill,"Size reduction using freely swinging hammers impacting and shattering materials through repeated high-speed impacts. Select for grinding grain, minerals, biomass, or brittle materials requiring size reduction. Impact size reduction (vs cutting), suitable for brittle materials, adjustable output size via screen. Biomass processing, mineral grinding, chemical powder production, grain grinding."
139,Machining,Milling,Ball mill,"Rotating cylindrical shell partially filled with grinding balls reducing material size through impact and attrition as balls cascade. Choose for fine grinding of minerals, ceramics, paints, or achieving very small particle sizes. Tumbling ball impact/attrition (vs hammer impact), wet or dry grinding, achieves fine particle sizes. Mineral processing, cement production, ceramic powder preparation, paint pigments."
140,Machining,Milling,Buhrstone mill,"Traditional grinding mill using horizontal rotating grooved millstones for grinding grain featuring radial grooves for cutting and grinding action. Select for traditional flour milling, specialty grain products, or historical/artisanal grain processing. Stone grinding surfaces (vs steel rollers), traditional technology, artisanal applications. Artisanal flour production, historical milling, specialty grain products."
141,Machining,Milling,Disc mill,"Rotating abrasive or cutting discs reduce material size suitable for fine grinding and fiber processing. Choose for pulp refining, fine grinding applications, or fiber length reduction. Rotating disc surfaces (vs balls or hammers), suitable for fibers and fine grinding. Paper pulp refining, fine chemical grinding, fiber processing."
142,Machining,Milling,Saw mill,"Industrial facility cutting logs into lumber using band saws, circular saws, and processing equipment. Select for timber processing, lumber production, or wood product manufacturing. Log processing into dimensional lumber (not metal machining), primary wood processing. Lumber industry, timber processing, wood product manufacturing. WOOD/TIMBER ONLY. NOT metal machining."
143,Machining,Milling,"Steel mill (Blast furnace, Smelting, Refining, Reduction mill, Annealing, Pickling, Coating, Passivate)","Integrated facility producing steel from raw materials through smelting, casting, rolling, heat treatment, and surface treatment processes. Choose for primary steel production, from iron ore to finished steel products, integrated processing. Comprehensive steel production facility (not machining operation), primary metals industry. Steel industry, integrated metal production, primary manufacturing."
144,Machining,Turning,,"Rotates cylindrical workpiece against stationary single-point cutting tool producing round parts with features like diameters, tapers, threads, contours. Select for cylindrical parts, shafts, bushings, internal/external round features, or high surface finish on rounds. Rotating workpiece (vs rotating tool in milling), produces round/cylindrical features, efficient for axisymmetric parts. Shafts, bushings, pulleys, threaded components, precision rounds."
145,Machining,Turning,Lathe,"Machine tool rotating workpiece while feeding cutting tool producing cylindrical shapes and features through turning operations. Choose for general turning operations, manual or CNC cylindrical part production, or versatile round part machining. Fundamental turning machine tool, rotates workpiece against tool, various sizes from benchtop to large industrial. Shafts, bushings, cylindrical components, custom turned parts."
146,Machining,Turning,Facing,"Cutting flat surface perpendicular to rotation axis creating end faces on cylindrical parts with tool feeding radially. Select for creating flat ends on shafts, perpendicular surfaces, or squaring cylinder ends. Radial tool feed (vs longitudinal for turning), creates perpendicular flat surface, typically on lathe. Shaft end faces, bushing ends, perpendicular mounting surfaces."
147,Machining,Turning,Boring,"Enlarges existing holes to precise diameter and finish using single-point boring bar cutting tool creating accurate internal cylindrical surfaces. Choose for precision internal diameters, concentric bores, internal features, or improving hole accuracy from drilling/casting. Internal diameter machining (vs external turning), enlarges pre-existing holes, high accuracy and finish. Cylinder bores, bearing housings, precision internal diameters, concentric bores."
148,Machining,Turning,Spinning,"Metal forming process rotating sheet blank against form while applying roller pressure progressively shaping into axisymmetric hollow parts. Select for axisymmetric hollow parts, low-volume forming, prototype development, or large diameter thin-wall vessels. Forming process (not chip-producing machining), progressive roller forming, suitable for thin-wall axisymmetric shapes. Satellite dishes, reflectors, vessel heads, decorative spun parts."
149,Machining,Turning,Knurling,"Presses hardened patterned rolling tool against rotating workpiece creating raised diamond or straight pattern for grip or press-fit applications. Choose for grip surfaces on handles/knobs, press-fit interference patterns, or decorative texture. Surface forming (not cutting), creates raised pattern, increases effective diameter. Tool handles, knobs, press-fit shafts, adjustment screws."
150,Machining,Turning,Hard turning,"Precision turning of hardened materials (45-70 HRC) using CBN or ceramic tooling as alternative to grinding achieving tight tolerances and surface finish. Select for hardened steel components, reduced cycle time vs grinding, or integrated hard machining in turning center. Machines hardened materials (vs soft), replaces grinding operations, single-point cutting of 45+ HRC. Hardened bearing races, tool steel components, heat-treated shafts."
151,Machining,Turning,Thread Cutting,"Creates helical threads on cylindrical surfaces using single-point threading tool following helical toolpath or threading die. Choose for custom thread forms, internal/external threads on lathe, precision lead/pitch requirements. Single-point tool follows helix (vs forming in thread rolling), creates threads through cutting, versatile for custom forms. Lead screws, threaded shafts, custom thread profiles, internal threads."
152,Machining,Turning,Multi-axis Turning,"Advanced CNC turning incorporating C-axis (spindle rotation positioning), live tooling, or Y-axis enabling off-axis features and milling in turning center. Select for complete part machining in single setup, off-axis holes/slots, or reducing operations and handling. C-axis and live tools enable milling operations (vs simple 2-axis turning), reduces setups, complex parts in single operation. Complex valve bodies, multi-feature shafts, Swiss-type precision parts."
153,Machining,Drilling,,"Creates round holes by rotating multi-edge cutting tool (drill bit) advancing axially into solid material. Choose for hole making, standard diameter holes, through-holes or blind holes, or initial hole before boring/reaming. Rotating tool entering solid material (vs boring which enlarges existing hole), most common hole-making process, various drill types. Bolt holes, dowel holes, access holes, assembly features."
154,Machining,Drilling,Friction drilling,"Rotates conical tool at high speed generating friction heat softening material flowing it aside and downward forming hole with extruded bushing collar increasing thread engagement length. Select for thin sheet hole-making with increased thread length, eliminating tapping in very thin material, or strong threads in sheet metal. Friction heat forms hole and extrusion (vs chip-making drilling), creates bushing collar, increases sheet effective thickness. Thin sheet metal threaded holes, automotive body panel attachments, increased thread engagement."
155,Machining,Reaming,,"Precision multi-flute tool slightly enlarges and finishes drilled hole to accurate diameter (±0.0005"") and improved surface finish. Choose after drilling when precision diameter and finish required, bearing fits, or pin holes. Finishing operation after drilling (not initial hole making), removes minimal material (0.005-0.015""), high accuracy and surface quality. Bearing fits, precision dowel holes, valve guides, close-tolerance holes."
156,Machining,Countersinking,,"Creates conical enlargement at hole entrance to accommodate flat-head fasteners or provide chamfered edge using cone-shaped cutter. Select for flat-head screw seats, deburring hole edges, chamfering hole entrances, or creating taper for assembly. Conical hole enlargement (vs cylindrical in counterboring), typically 82° or 90° included angle, aesthetic flush fastener installation. Flat-head screw seats, edge breaks, assembly lead-ins."
157,Machining,Tapping,,"Cuts internal threads in holes using rotating tap (hardened threaded cutting tool) to create threaded holes for fastener assembly. Choose for creating internal threads, threaded holes for screws/bolts, or female threaded features. Cuts internal threads (vs external in thread cutting/rolling), tap follows helical path cutting thread form, requires specific tap drill size. Threaded holes for assembly, manifold ports, engine block holes, tapped fastener holes."
158,Machining,Sawing,,"Cuts material using blade with multiple sequential teeth removing narrow kerf of material suitable for separating stock or cutting profiles. Choose for cutting stock to length, parting off, contour cutting, or material separation with minimal waste. Multiple teeth in cutting action (vs single-point tools), narrow kerf minimizes waste, straight or contoured cuts. Cutting bar/tube stock, structural steel cutoff, contour cutting sheet/plate."
159,Machining,Sawing,Filing,"Manual or powered abrasive tool with multiple cutting teeth removing material for smoothing, shaping, or fitting operations. Select for manual fitting, deburring, smoothing surfaces, or precision hand finishing. Hand tool typically (vs powered sawing), versatile for various materials, fine material removal for fitting. Hand fitting operations, deburring, surface smoothing, precision adjustments."
160,Machining,Broaching,,"Pulls or pushes multi-tooth cutting tool (broach) with progressively larger teeth through workpiece creating precise internal or external profiles in single pass. Choose for internal keyways, splines, complex shaped holes, or high-volume production of specific profiles. Progressive tooth size cuts to final form in one pass (vs multiple), internal (pulled) or external (surface), excellent for complex internal shapes. Keyways, splines, gun barrel rifling, internal gear forms."
161,Machining,Shaping,,"Reciprocating single-point cutting tool in linear motion machines flat surfaces, slots, or contours on horizontal or vertical shaper. Select for flat surface machining, slot cutting, internal surfaces, or when simpler than milling setup. Reciprocating linear tool motion (vs rotating in milling), single-point cutting, largely replaced by milling except specialized applications. Flat surface machining, keyways, slots, internal surfaces (slotters)."
162,Machining,Shaping,Horizontal,"Shaper with horizontal ram motion moving cutting tool linearly across stationary workpiece for flat surfaces and contours. Choose for machining flat horizontal surfaces, simple slots, or when milling unavailable/unsuitable. Horizontal cutting stroke (vs vertical), table positions workpiece, tool reciprocates. Flat surface finishing, simple slot cutting, general shaping."
163,Machining,Shaping,Vertical,"Shaping machine (slotter) with vertical reciprocating ram cutting downward suitable for internal surfaces, keyways, and vertical faces. Select for internal keyways, vertical surface machining, blind slots, or cutting within confined spaces. Vertical stroke (vs horizontal shaper), reaches internal features, similar operation to broaching but reciprocating. Internal keyways, die cavities, vertical slots, blind internal features."
164,Machining,Shaping,Special purpose,"Custom-designed shapers configured for specific high-volume production applications with specialized tooling and automation. Choose when dedicated specialized shaper justified by production volume and specific requirements. Application-specific configuration (vs general purpose), custom tooling and automation, economical for high-volume specialized work. Production-specific shaping operations, specialized automotive/aerospace components."
165,Machining,Planing,,"Workpiece reciprocates past stationary single-point cutting tool machining large flat surfaces on massive planers. Select for very large flat surfaces (machine tool beds, large plates), when milling table size inadequate. Workpiece reciprocates (vs rotating tool in milling or reciprocating tool in shaping), suitable for very large work, multiple tools can cut simultaneously. Machine tool beds, large press beds, steel plate surfacing."
166,Machining,Planing,Double housing,"Planer with vertical housings on both sides supporting crossrail providing maximum rigidity for machining very large heavy workpieces. Choose for heaviest largest workpieces requiring maximum machine rigidity and stability. Two-sided support structure (vs open-side), maximum rigidity, suitable for largest/heaviest parts. Large press frames, machine tool beds, heavy structural components."
167,Machining,Planing,Open side,"Planer with housing only on one side allowing machining of workpieces extending beyond normal table width. Select for extra-wide workpieces, asymmetric large parts, or when width exceeds closed machine capacity. One-sided housing permits overhang (vs double housing), accommodates wide parts, less rigid than double housing. Wide plates, asymmetric large castings, parts exceeding standard width."
168,Machining,Planing,Edge,"Specialized planer for machining edges of plates and structural sections ensuring squareness and smoothness for welding preparation or assembly. Choose for preparing weld edges, edge squaring of plate, or structural section edge finishing. Dedicated edge machining (vs general surface planing), prepares surfaces for welding, ensures edge quality. Weld edge preparation, plate edge squaring, structural steel edge finishing."
169,Machining,Planing,Pit type,"Large planer with table at floor level or in pit allowing overhead cutting heads for extremely heavy massive workpieces. Select for heaviest largest components, when overhead clearance needed, or floor-level loading advantageous. Floor-level or pit-mounted table (vs raised table), handles extreme weights, overhead gantry-mounted tools. Turbine housings, large marine components, extremely heavy castings."
170,Machining,Planing,Abrasive jet machining,"High-velocity stream of fine abrasive particles (Al2O3, SiC) in compressed air/gas cutting through erosion suitable for hard/brittle materials. Choose for hard materials, heat-sensitive materials, intricate patterns in glass/ceramics, or non-conductive materials. Abrasive particle erosion (vs cutting edge), no heat affected zone, suitable for brittle materials. Glass etching, ceramic machining, deburring, intricate patterns in hard materials."
171,Machining,Planing,Water jet cutting,"High-pressure water stream (40,000-90,000 psi) with or without abrasive cutting materials through erosion without heat distortion. Select for heat-sensitive materials, multi-material stacks, thick materials (with abrasive), or when thermal distortion unacceptable. Water erosion cutting (vs thermal), no heat-affected zone, cuts virtually any material (with abrasive). Gaskets, composites, stone/tile, thick plate cutting, heat-sensitive materials."
172,Machining,Planing,Photochemical machining,"Selectively removes metal using photoresist patterns and chemical etchants creating fine features and patterns without mechanical forces or thermal distortion. Choose for very thin materials (<0.5mm), fine features, burr-free edges, or metal foil parts. Chemical etching with photo-defined pattern (vs mechanical cutting), burr-free, no mechanical stresses. Shims, fine screens, decorative metal parts, electronic lead frames."
173,Machining,Planing,Abrasive belt,"Endless abrasive-coated belt running over pulleys for grinding, stock removal, deburring, and surface finishing of flat or contoured surfaces. Select for rapid stock removal, large flat surfaces, deburring, or flexible finishing operations. Continuous abrasive belt (vs wheel), suitable for flat and contoured surfaces, various belt grits/materials. Surface finishing, deburring, stock removal, knife sharpening."
174,Machining,Honing,,"Abrasive stones in reciprocating rotating motion precisely finish cylindrical bores achieving tight tolerances (±0.0002"") and controlled surface texture. Choose for precision bore finishing, specific crosshatch pattern (ring sealing), or superior geometry and surface texture. Abrasive stone simultaneous rotation and reciprocation (vs grinding wheel), creates crosshatch pattern, finishing operation after boring. Cylinder bores, hydraulic cylinders, bearing bores, gun barrels."
175,Machining,Honing,Electrochemical grinding,"Combined abrasive grinding wheel and electrolytic metal dissolution simultaneously removing material particularly effective for hard conductive materials. Choose for grinding carbides, hardened tool steels, or when mechanical grinding forces problematic. Combination of abrasive and electrochemical action (vs pure mechanical grinding), reduced grinding forces, suited for very hard conductive materials. Carbide tool grinding, hardened steel precision grinding, difficult-to-grind alloys."
176,Machining,Finishing,,"Final surface treatment processes improving surface quality, appearance, texture, or properties through abrasive, chemical, or mechanical methods. Select for achieving final surface requirements, appearance, texture, corrosion protection, or preparing for coating. Post-machining surface treatment (vs primary material removal), focuses on surface quality, various mechanical/chemical/abrasive methods. Wide range of applications from appearance to functional surface preparation."
177,Machining,Finishing,Abrasive blasting,"Propels abrasive particles against surface using compressed air or centrifugal wheel for cleaning, deburring, texturing, or coating preparation. Choose for surface cleaning, oxide removal, surface profiling for coating adhesion, or texture creation. Abrasive particle impact treatment (vs cutting/grinding), adjustable aggression via media selection, versatile for cleaning/finishing. Paint preparation, rust removal, surface texturing, cleaning castings/forgings."
